City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Labuhan,ID,82.44,overcast clouds,-6.8844,112.2051,DoubleFAG
Merauke,ID,84.58,overcast clouds,-8.4667,140.3333, 
Fort Wellington,GY,78.98,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
Cochabamba,BO,71.35,scattered clouds,-17.3895,-66.1568,Hotel Aranjuez Cochabamba
Ambilobe,MG,70.9,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
Sola,VU,82.38,clear sky,-13.8833,167.55,Leumerus Bungalows
Moerai,PF,73.08,few clouds,-22.4333,-151.3333,Le Manotel
Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
Palora,EC,65.57,overcast clouds,-1.7,-77.9333,Rancho grande
Sao Domingos,BR,73.53,broken clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
Nchelenge,ZM,67.69,light rain,-9.3451,28.734,KD Travellers Home
Abu Dhabi,AE,74.97,broken clouds,24.4667,54.3667,Beach Rotana
Sao Felix Do Xingu,BR,73.58,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
Ouro Preto Do Oeste,BR,76.44,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
Arawa,PG,84.74,light rain,-6.2132,155.5367,Coastline Guest House
Manono,CD,66.58,broken clouds,-7.3,27.4167,Hotel hewa bora
Savalou,BJ,73.83,few clouds,7.9281,1.9756,Hotel F&F
Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
Fare,PF,79.93,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
Thai Binh,VN,82.22,clear sky,20.45,106.3333,Sweden Hotel
Neiafu,TO,83.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
Quatre Cocos,MU,67.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
Mount Gambier,AU,71.06,overcast clouds,-37.8333,140.7667,The Commodore
Odlabari,IN,67.78,clear sky,26.8333,88.6167,west damdim resort
Kaele,CM,73.62,broken clouds,10.1092,14.4508,Hôtel Les Palmiers
Lazaro Cardenas,MX,78.04,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
Ibra,OM,65.79,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
Adrar,MR,67.42,clear sky,20.5022,-10.0711, 
Spanish Town,JM,80.22,few clouds,17.9911,-76.9574,Shan's Cloud
Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
Salinopolis,BR,79.09,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
Karratha,AU,78.21,broken clouds,-20.7377,116.8463,ibis Styles Karratha
Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
Lingao,CN,80.1,clear sky,19.9103,109.6859,Lingao Ditai Inn
Weligama,LK,76.8,broken clouds,5.9667,80.4167,Weligama Bay Resort
Ransang,PH,83.89,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
Bengkulu,ID,80.49,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Codrington,AU,66.27,clear sky,-38.2667,141.9667, 
Dalby,AU,77.99,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
Itaqui,BR,71.64,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
Saint-Philippe,RE,67.59,few clouds,-21.3585,55.7679,Le four à pain
Axim,GH,77.05,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
Janauba,BR,71.33,broken clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
Porbandar,IN,75.33,clear sky,21.6422,69.6093,Lords Inn Porbandar
Los Chiles,CR,72.64,scattered clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
Carbonia,IT,65.05,scattered clouds,39.1672,8.5222,Lu 'Hotel
Bambous Virieux,MU,67.21,few clouds,-20.3428,57.7575,Casa Tia Villa
Wanning,CN,80.69,clear sky,18.8003,110.3967,Paradise Hotel
Pajapan,MX,68.63,broken clouds,18.25,-94.7,Hotel Del Carmen
Port Blair,IN,77.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
Misratah,LY,68.83,clear sky,32.3754,15.0925,Almasa Hotel
Manadhoo,MV,81.79,scattered clouds,5.7667,73.3833,Bon Abri maldives
Bonthe,SL,77.86,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
Moron,AR,74.97,overcast clouds,-34.6534,-58.6198,Hotel Morón
Amahai,ID,86.61,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
Mahebourg,MU,67.24,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Ampanihy,MG,66.51,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
Kingston,JM,79.75,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
Alice Springs,AU,81.95,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
Berekum,GH,67.89,broken clouds,7.4534,-2.584,Nyame Nnae Hotel
Meulaboh,ID,77.76,overcast clouds,4.1363,96.1285,Kost Pria
Quepos,CR,76.91,scattered clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
